bedroom|bathroom|garage|parking|erf-size|building-size|price
2|2|NaN|2|NaN|176 m²|R6,495,000
5|4.5|3|NaN|1,200 m²|NaN|R6,495,000
5|3.5|3|NaN|1,974 m²|NaN|R6,450,000
3|3|2|NaN|165 m²|251 m²|R6,400,000
5|4|3|NaN|1,198 m²|560 m²|R6,400,000
3|2.5|1|1|NaN|184 m²|R6,400,000
5|5|4|4|660 m²|530 m²|R6,400,000
2|2|1|NaN|NaN|154 m²|R6,395,000
4|3|2|5|1,216 m²|750 m²|R6,395,000
3|2|NaN|1|3,742 m²|144 m²|R6,350,000
4|3|1|NaN|491 m²|239 m²|R6,300,000
3|3|2|NaN|643 m²|326 m²|R6,300,000
2|2|NaN|NaN|NaN|213 m²|R6,300,000
4|3|2|NaN|1,489 m²|240 m²|R6,295,000
6|4.5|2|NaN|1,157 m²|430 m²|R6,295,000
3|1|1|1|NaN|122 m²|R6,295,000
5|4|2|NaN|666 m²|530 m²|R6,250,000
2|2|1|NaN|NaN|140 m²|R6,250,000
2|2.5|NaN|1|NaN|120 m²|R6,250,000
3|2|2|NaN|535 m²|NaN|R6,200,000
4|3|NaN|NaN|757 m²|NaN|R6,200,000
2|2|1|1|NaN|120 m²|R6,150,000
3|3|3|NaN|849 m²|NaN|R6,150,000
3|3.5|NaN|NaN|199 m²|199 m²|R6,000,000
4|3|1|NaN|495 m²|NaN|R6,000,000
5|4|3|NaN|969 m²|NaN|R6,000,000
2|2.5|NaN|2|NaN|84 m²|R5,999,000
6|3|3|NaN|1,179 m²|579 m²|R5,995,000
2|2|NaN|2|NaN|87 m²|R5,995,000
3|3|2|NaN|730 m²|NaN|R5,995,000
2|2|1|1|NaN|83 m²|R5,995,000
7|6.5|NaN|NaN|1,488 m²|590 m²|R5,995,000
4|2|2|NaN|599 m²|333 m²|R5,995,000
2|2|NaN|2|NaN|155 m²|R5,995,000
3|2|NaN|NaN|169 m²|NaN|R5,990,000
2|2|NaN|2|NaN|96 m²|R5,990,000
4|3|2|NaN|727 m²|NaN|R5,950,000
2|2|NaN|1|84 m²|86 m²|R5,950,000
3|2.5|2|NaN|205 m²|262 m²|R5,950,000
3|2|1|NaN|278 m²|NaN|R5,950,000
5|2|2|NaN|1,029 m²|450 m²|R5,950,000
1|1|NaN|1|NaN|72 m²|R5,895,000
4|2|2|NaN|380 m²|308 m²|R5,895,000
2|2.5|NaN|NaN|124 m²|NaN|R5,850,000
4|3|2|NaN|666 m²|NaN|R5,850,000
2|2|NaN|2|NaN|108 m²|R5,850,000
3|3|NaN|2|2,625 m²|171 m²|R5,850,000
8|6|NaN|NaN|942 m²|NaN|R5,800,000
3|2|NaN|NaN|NaN|108 m²|R5,800,000
2|2|NaN|NaN|NaN|85 m²|R5,798,000
4|3|1|NaN|828 m²|NaN|R5,795,000
4|4|3|NaN|2,225 m²|423 m²|R5,795,000
3|2.5|NaN|NaN|176 m²|176 m²|R5,750,000
2|2|NaN|2|NaN|86 m²|R5,750,000
2|2|NaN|2|NaN|87 m²|R5,750,000
6|5|3|NaN|560 m²|NaN|R5,700,000
2|2|NaN|2|NaN|86 m²|R5,700,000
5|3.5|2|NaN|1,000 m²|465 m²|R5,690,000
2|2|NaN|2|NaN|125 m²|R5,650,000
3|2|1|NaN|165 m²|165 m²|R5,600,000
4|2.5|2|NaN|699 m²|240 m²|R5,595,000
4|3|2|NaN|1,338 m²|404 m²|R5,590,000
3|2.5|2|NaN|1,002 m²|290 m²|R5,500,000
3|2|NaN|NaN|745 m²|136 m²|R5,500,000
3|2|1|NaN|NaN|140 m²|R5,500,000
3|2.5|1|NaN|129 m²|150 m²|R5,500,000
3|2|1|2|688 m²|NaN|R5,495,000
3|3|3|NaN|NaN|174 m²|R5,495,000
3|2.5|2|NaN|NaN|144 m²|R5,495,000
4|2|1|NaN|495 m²|NaN|R5,495,000
3|2|2|NaN|200 m²|NaN|R5,490,000
2|2|NaN|NaN|NaN|94 m²|R5,450,000
3|3.5|2|NaN|853 m²|315 m²|R5,395,000
2|2|NaN|2|NaN|87 m²|R5,350,000
5|4|3|NaN|1,127 m²|450 m²|R5,350,000
2|2|NaN|2|NaN|87 m²|R5,350,000
2|2|1|NaN|167 m²|NaN|R5,350,000
2|2|NaN|2|NaN|86 m²|R5,300,000
4|4|4|NaN|601 m²|NaN|R5,300,000
11|11|NaN|NaN|1,004 m²|1,004 m²|R5,300,000
2|2|NaN|NaN|NaN|90 m²|R5,295,000
4|4|2|NaN|1,180 m²|NaN|R5,295,000
5|1|3|NaN|495 m²|NaN|R5,290,000
2|2|NaN|2|NaN|81 m²|R5,250,000
2|2|NaN|2|NaN|89 m²|R5,250,000
3|2|1|NaN|496 m²|210 m²|R5,250,000
10|10|3|NaN|803 m²|500 m²|R5,250,000
2|2|NaN|1|NaN|119 m²|R5,245,000
2|2|NaN|NaN|NaN|223 m²|R5,150,000
4|3.5|4|NaN|746 m²|395 m²|R5,100,000
4|2|2|NaN|599 m²|340 m²|R4,999,000
2|2|NaN|NaN|NaN|97 m²|R4,995,000
3|3|NaN|NaN|718 m²|NaN|R4,995,000
3|3|2|NaN|716 m²|NaN|R4,995,000
5|4|4|NaN|924 m²|455 m²|R4,995,000
3|2|2|NaN|NaN|200 m²|R4,995,000
3|2|2|NaN|401 m²|250 m²|R4,995,000
4|4|2|NaN|285 m²|285 m²|R4,995,000
3|2|NaN|2|NaN|149 m²|R4,995,000
2|2|NaN|2|NaN|87 m²|R4,950,000
2|2|NaN|1|91 m²|91 m²|R4,950,000
4|3|2|NaN|982 m²|375 m²|R4,950,000
4|3|2|NaN|988 m²|340 m²|R4,950,000
3|2|2|NaN|563 m²|NaN|R4,950,000
2|2|NaN|1|NaN|104 m²|R4,950,000
4|3.5|2|4|713 m²|NaN|R4,950,000
3|3|2|NaN|457 m²|268 m²|R4,950,000
2|2|NaN|2|NaN|86 m²|R4,950,000
2|2|NaN|1|NaN|102 m²|R4,950,000
5|3|2|2|896 m²|219 m²|R4,950,000
3|2.5|NaN|2|NaN|133 m²|R4,930,000
7|4|4|NaN|713 m²|500 m²|R4,900,000
4|3.5|1|NaN|444 m²|NaN|R4,900,000
3|3|1|NaN|994 m²|NaN|R4,895,000
4|3|2|NaN|729 m²|NaN|R4,895,000
4|3|1|NaN|2,380 m²|NaN|R4,850,000
2|1|NaN|NaN|239 m²|NaN|R4,800,000
3|2|2|NaN|285 m²|NaN|R4,800,000
4|4|2|NaN|1,082 m²|310 m²|R4,800,000
3|1|NaN|NaN|217 m²|NaN|R4,800,000
2|2|NaN|2|NaN|147 m²|R4,795,000
2|2|NaN|2|NaN|95 m²|R4,795,000
5|4|4|NaN|850 m²|420 m²|R4,795,000
2|2|NaN|NaN|NaN|99 m²|R4,795,000
4|3|2|4|1,110 m²|320 m²|R4,790,000
3|2|NaN|NaN|167 m²|NaN|R4,750,000
2|2|NaN|1|NaN|105 m²|R4,750,000
2|2|NaN|1|73 m²|73 m²|R4,745,000
5|2|NaN|13|981 m²|NaN|R4,725,000
3|2|2|NaN|NaN|138 m²|R4,700,000
5|3|5|NaN|1,758 m²|515 m²|R4,700,000
5|3|4|NaN|1,146 m²|418 m²|R4,695,000
3|2|NaN|NaN|410 m²|NaN|R4,650,000
3|2.5|1|1|NaN|188 m²|R4,600,000
2|2|NaN|NaN|NaN|158 m²|R4,595,000
3|3.5|2|NaN|492 m²|400 m²|R4,595,000
4|3|3|NaN|1,070 m²|340 m²|R4,595,000
2|2|NaN|NaN|NaN|97 m²|R4,550,000
2|1.5|NaN|2|NaN|90 m²|R4,525,000
3|3|2|NaN|436 m²|305 m²|R4,500,000
1|1|NaN|1|NaN|64 m²|R4,500,000
3|2|1|NaN|724 m²|NaN|R4,500,000
2|2|NaN|2|NaN|86 m²|R4,500,000
3|2|2|NaN|1,093 m²|260 m²|R4,500,000
4|2|1|NaN|427 m²|NaN|R4,499,900
5|4|2|NaN|660 m²|300 m²|R4,495,000
3|1.5|NaN|NaN|NaN|109 m²|R4,495,000
2|2|NaN|2|NaN|137 m²|R4,495,000
2|2|NaN|1|NaN|88 m²|R4,495,000
4|3|2|NaN|963 m²|292 m²|R4,495,000
2|2|1|NaN|NaN|123 m²|R4,495,000
4|3|1|NaN|988 m²|NaN|R4,495,000
4|2|NaN|NaN|898 m²|262 m²|R4,495,000
NaN|1|NaN|NaN|NaN|40 m²|R4,485,000
2|2|NaN|2|NaN|100 m²|R4,475,000
3|2.5|NaN|2|NaN|210 m²|R4,450,000
6|4.5|2|NaN|1,273 m²|414 m²|R4,400,000
2|2|NaN|2|NaN|146 m²|R4,395,000
2|1|NaN|NaN|68 m²|68 m²|R4,390,000
5|6|1|NaN|377 m²|NaN|R4,350,000
4|3.5|2|NaN|767 m²|498 m²|R4,350,000
3|2|NaN|2|116 m²|116 m²|R4,300,000
3|2|NaN|2|115 m²|148 m²|R4,300,000
3|2.5|2|NaN|773 m²|291 m²|R4,300,000
2|2|1|NaN|495 m²|NaN|R4,299,000
5|2|2|NaN|2,024 m²|387 m²|R4,295,000
4|3|2|NaN|738 m²|289 m²|R4,295,000
3|2|2|4|649 m²|180 m²|R4,295,000
6|4|NaN|NaN|486 m²|NaN|R4,295,000
4|2.5|2|NaN|NaN|216 m²|R4,294,999
3|2.5|1|NaN|NaN|150 m²|R4,290,000
8|7|4|NaN|991 m²|624 m²|R4,255,000
4|2.5|2|NaN|413 m²|230 m²|R4,250,000
4|2|1|NaN|1,179 m²|NaN|R4,250,000
3|2.5|NaN|NaN|645 m²|NaN|R4,250,000
3|2|4|NaN|1,087 m²|395 m²|R4,250,000
2|1|NaN|1|NaN|114 m²|R4,250,000
4|3|1|NaN|406 m²|NaN|R4,250,000
2|2|NaN|NaN|122 m²|122 m²|R4,250,000
2|1|1|NaN|NaN|100 m²|R4,200,000
3|2.5|2|NaN|538 m²|225 m²|R4,200,000
3|2|NaN|2|116 m²|145 m²|R4,200,000
3|1.5|NaN|2|151 m²|151 m²|R4,200,000
1|1|NaN|1|NaN|55 m²|R4,150,000
6|4|NaN|NaN|902 m²|633 m²|R4,100,000
3|2|1|NaN|1,510 m²|300 m²|R4,100,000
2|2|NaN|NaN|118 m²|118 m²|R4,000,000
1|1|2|NaN|230 m²|NaN|R4,000,000
3|2|NaN|NaN|461 m²|NaN|R4,000,000
3|3|2|NaN|924 m²|213 m²|R3,999,000
1|1|NaN|1|NaN|67 m²|R3,995,000
4|2.5|2|NaN|614 m²|260 m²|R3,995,000
4|3.5|2|NaN|443 m²|234 m²|R3,995,000
NaN|1|NaN|1|NaN|55 m²|R3,995,000
2|2|NaN|1|NaN|95 m²|R3,995,000
8|6.5|3|NaN|709 m²|NaN|R3,995,000
5|4|NaN|NaN|603 m²|272 m²|R3,995,000
3|2|NaN|NaN|467 m²|NaN|R3,995,000
2|2|NaN|2|NaN|122 m²|R3,995,000
2|2|NaN|NaN|142 m²|142 m²|R3,995,000
3|2|2|NaN|536 m²|191 m²|R3,995,000
2|2|NaN|NaN|NaN|86 m²|R3,995,000
4|3.5|2|NaN|1,204 m²|440 m²|R3,990,000
4|4|2|NaN|540 m²|272 m²|R3,975,000
5|2|1|NaN|952 m²|238 m²|R3,975,000
2|2|NaN|2|NaN|130 m²|R3,950,000
4|3|2|6|627 m²|209 m²|R3,950,000
2|2|NaN|NaN|278 m²|NaN|R3,950,000
2|1|NaN|NaN|150 m²|NaN|R3,950,000
2|2|NaN|1|NaN|123 m²|R3,950,000
2|1|NaN|NaN|NaN|105 m²|R3,950,000
4|3|NaN|NaN|5,823 m²|350 m²|R3,950,000
3|2.5|2|NaN|898 m²|300 m²|R3,950,000
3|3|2|NaN|1,001 m²|300 m²|R3,950,000
10|8|NaN|NaN|1,948 m²|350 m²|R3,900,000
3|2|NaN|NaN|108 m²|NaN|R3,885,000
3|2|2|NaN|388 m²|165 m²|R3,875,000
4|3|2|NaN|702 m²|NaN|R3,850,000
2|2|NaN|2|NaN|128 m²|R3,825,000
2|2|NaN|2|NaN|95 m²|R3,825,000
1|1|NaN|NaN|NaN|67 m²|R3,800,000
3|4|1|NaN|621 m²|NaN|R3,800,000
5|3|2|NaN|445 m²|245 m²|R3,800,000
2|2|NaN|1|NaN|90 m²|R3,800,000
3|2|2|NaN|594 m²|218 m²|R3,795,000
5|3|2|NaN|1,030 m²|340 m²|R3,795,000
4|3.5|2|NaN|350 m²|250 m²|R3,775,000
4|3|2|NaN|818 m²|304 m²|R3,775,000
3|2|1|NaN|315 m²|NaN|R3,750,000
5|3.5|2|NaN|694 m²|320 m²|R3,750,000
1|1|NaN|1|NaN|64 m²|R3,750,000
3|2.5|2|NaN|438 m²|160 m²|R3,750,000
3|2|2|NaN|429 m²|225 m²|R3,750,000
2|2.5|NaN|NaN|109 m²|109 m²|R3,700,000
2|1|1|NaN|NaN|114 m²|R3,700,000
3|2|2|NaN|NaN|226 m²|R3,700,000
3|1|1|NaN|980 m²|NaN|R3,675,000
4|3|2|NaN|1,119 m²|265 m²|R3,675,000
3|2|2|NaN|1,053 m²|114 m²|R3,650,000
3|2|2|NaN|388 m²|210 m²|R3,650,000
3|2.5|NaN|NaN|101 m²|150 m²|R3,650,000
2|2|1|NaN|NaN|101 m²|R3,650,000
3|2|NaN|NaN|107 m²|NaN|R3,650,000
4|4|2|NaN|936 m²|370 m²|R3,650,000
3|2.5|2|NaN|184 m²|184 m²|R3,650,000
3|3.5|2|NaN|272 m²|NaN|R3,650,000
3|3|1|NaN|442 m²|265 m²|R3,600,000
2|1|NaN|2|NaN|72 m²|R3,595,000
3|2|2|NaN|771 m²|222 m²|R3,595,000
4|3|2|2|618 m²|230 m²|R3,550,000
6|5|3|NaN|1,775 m²|NaN|R3,550,000
2|1|NaN|NaN|NaN|87 m²|R3,550,000
2|1|NaN|NaN|NaN|81 m²|R3,550,000
3|2|1|1|NaN|100 m²|R3,500,000
2|2|NaN|1|NaN|71 m²|R3,500,000
2|2|2|NaN|NaN|93 m²|R3,500,000
2|1.5|1|NaN|NaN|79 m²|R3,500,000
2|1|NaN|NaN|256 m²|84 m²|R3,500,000
3|2|2|NaN|146 m²|146 m²|R3,495,000
3|2.5|1|NaN|NaN|136 m²|R3,495,000
2|2|NaN|NaN|199 m²|NaN|R3,495,000
4|2|2|NaN|528 m²|237 m²|R3,495,000
3|3|2|NaN|600 m²|200 m²|R3,480,000
8|4|NaN|NaN|425 m²|NaN|R3,460,000
4|2|2|NaN|1,098 m²|266 m²|R3,450,000
4|2|2|NaN|1,100 m²|240 m²|R3,450,000
4|2|1|NaN|737 m²|170 m²|R3,450,000
3|2|2|NaN|418 m²|210 m²|R3,445,000
4|3|2|NaN|855 m²|NaN|R3,400,000
3|2.5|2|NaN|285 m²|NaN|R3,395,000
3|1|1|NaN|467 m²|NaN|R3,395,000
2|1|NaN|NaN|NaN|162 m²|R3,395,000
1|1|NaN|NaN|NaN|55 m²|R3,375,000
5|2|2|NaN|312 m²|NaN|R3,350,000
3|2|2|NaN|991 m²|142 m²|R3,300,000
2|2|NaN|1|NaN|105 m²|R3,300,000
3|2|2|NaN|851 m²|200 m²|R3,299,000
3|2|NaN|NaN|164 m²|NaN|R3,299,000
3|2|2|NaN|829 m²|250 m²|R3,295,000
2|2|1|NaN|NaN|83 m²|R3,295,000
6|5|NaN|NaN|959 m²|350 m²|R3,295,000
5|4|2|NaN|489 m²|NaN|R3,295,000
4|2|NaN|NaN|980 m²|NaN|R3,295,000
4|3|2|NaN|1,304 m²|340 m²|R3,290,000
4|3|2|NaN|694 m²|280 m²|R3,250,000
1|1|NaN|1|NaN|55 m²|R3,250,000
6|4|2|4|892 m²|439 m²|R3,250,000
3|2|4|NaN|765 m²|285 m²|R3,250,000
3|3|2|NaN|320 m²|250 m²|R3,240,000
3|2.5|NaN|NaN|NaN|106 m²|R3,200,000
5|3|2|NaN|682 m²|290 m²|R3,199,000
4|2|2|NaN|969 m²|330 m²|R3,195,000
5|2|2|NaN|793 m²|290 m²|R3,190,000
2|2|NaN|2|1,123 m²|82 m²|R3,150,000
3|2|NaN|NaN|204 m²|NaN|R3,150,000
2|2|1|1|NaN|87 m²|R3,150,000
4|3|1|NaN|551 m²|NaN|R3,150,000
2|2|NaN|NaN|NaN|77 m²|R3,100,000
3|2|3|NaN|792 m²|240 m²|R3,100,000
2|2|2|NaN|403 m²|161 m²|R3,100,000
1|1|NaN|1|NaN|55 m²|R3,100,000
3|2|1|NaN|94 m²|94 m²|R3,100,000
4|4|2|NaN|444 m²|145 m²|R3,095,000
3|2|2|NaN|7,557 m²|191 m²|R3,085,000
3|2|2|NaN|698 m²|166 m²|R3,050,000
1|1|NaN|1|NaN|51 m²|R3,000,000
2|2|NaN|NaN|NaN|105 m²|R3,000,000
2|2|1|NaN|NaN|88 m²|R3,000,000
2|1|NaN|NaN|147 m²|NaN|R2,999,999
5|3|2|NaN|568 m²|285 m²|R2,999,999
2|1|1|NaN|144 m²|NaN|R2,999,000
5|4|2|NaN|750 m²|NaN|R2,995,000
4|3.5|2|NaN|881 m²|446 m²|R2,995,000
1|1|NaN|1|NaN|69 m²|R2,995,000
1|1|NaN|2|NaN|93 m²|R2,995,000
2|2|NaN|2|5,674 m²|97 m²|R2,995,000
3|2|1|NaN|367 m²|NaN|R2,995,000
4|2|2|NaN|NaN|195 m²|R2,995,000
4|3|2|NaN|614 m²|NaN|R2,995,000
NaN|NaN|NaN|NaN|600 m²|NaN|R2,995,000
4|3|NaN|NaN|659 m²|NaN|R2,980,000
2|2|NaN|2|NaN|95 m²|R2,975,000
3|4|NaN|NaN|348 m²|206 m²|R2,955,000
2|2|NaN|1|3,742 m²|90 m²|R2,954,800
3|2.5|2|NaN|832 m²|NaN|R2,950,000
3|1|1|NaN|991 m²|206 m²|R2,950,000
1|1|NaN|NaN|NaN|53 m²|R2,950,000
4|2|NaN|NaN|290 m²|NaN|R2,950,000
1|1|NaN|NaN|NaN|65 m²|R2,950,000
3|2|2|NaN|266 m²|NaN|R2,945,000
3|2|2|NaN|503 m²|216 m²|R2,945,000
1|1|NaN|1|NaN|55 m²|R2,900,000
1|1|NaN|1|NaN|78 m²|R2,900,000
2|1|NaN|NaN|1,179 m²|NaN|R2,900,000
5|2|2|NaN|496 m²|NaN|R2,899,000
4|2|2|NaN|410 m²|NaN|R2,895,000
4|2|2|2|983 m²|NaN|R2,895,000
2|1|NaN|NaN|NaN|76 m²|R2,895,000
4|2|1|NaN|694 m²|280 m²|R2,895,000
3|1|1|NaN|763 m²|138 m²|R2,895,000
4|3|2|NaN|1,933 m²|425 m²|R2,890,000
1|1|NaN|1|67 m²|67 m²|R2,880,000
2|2|NaN|2|10,523 m²|136 m²|R2,850,000
3|2|2|NaN|436 m²|205 m²|R2,850,000
1|1|NaN|1|62 m²|62 m²|R2,850,000
1|1|NaN|1|NaN|49 m²|R2,850,000
3|3|2|NaN|471 m²|194 m²|R2,850,000
3|2|1|NaN|551 m²|203 m²|R2,850,000
4|2|2|NaN|584 m²|230 m²|R2,850,000
3|2|NaN|NaN|2,097 m²|NaN|R2,850,000
2|1|1|NaN|404 m²|89 m²|R2,850,000
3|2|3|NaN|782 m²|NaN|R2,800,000
4|1|NaN|NaN|495 m²|NaN|R2,800,000
3|2|1|NaN|627 m²|200 m²|R2,800,000
3|1|1|NaN|1,043 m²|200 m²|R2,800,000
3|2|1|NaN|520 m²|170 m²|R2,800,000
2|2|NaN|1|94 m²|94 m²|R2,795,000
1|2|NaN|NaN|109 m²|109 m²|R2,795,000
1|1|NaN|NaN|NaN|72 m²|R2,795,000
3|2|2|NaN|512 m²|200 m²|R2,795,000
3|2|2|NaN|494 m²|105 m²|R2,790,000
3|3|2|NaN|1,357 m²|NaN|R2,750,000
3|2.5|NaN|NaN|NaN|138 m²|R2,750,000
4|3|2|NaN|693 m²|260 m²|R2,750,000
2|1|NaN|NaN|135 m²|NaN|R2,750,000
1|1|NaN|1|NaN|66 m²|R2,750,000
3|2|1|2|233 m²|143 m²|R2,750,000
3|2|2|NaN|732 m²|250 m²|R2,735,000
3|2|2|NaN|761 m²|NaN|R2,700,000
4|2.5|2|NaN|694 m²|244 m²|R2,695,000
1|1|NaN|1|NaN|55 m²|R2,695,000
2|1|NaN|1|NaN|63 m²|R2,695,000
3|2|2|NaN|316 m²|120 m²|R2,695,000
3|2|NaN|NaN|117 m²|NaN|R2,695,000
5|2|NaN|NaN|332 m²|NaN|R2,695,000
1|1|NaN|1|NaN|61 m²|R2,695,000
2|1|NaN|2|NaN|63 m²|R2,685,000
3|2|NaN|2|10,523 m²|101 m²|R2,650,000
1|1|NaN|1|NaN|43 m²|R2,650,000
4|2|3|NaN|496 m²|160 m²|R2,650,000
1|1|NaN|1|NaN|43 m²|R2,650,000
2|1|1|NaN|NaN|70 m²|R2,650,000
5|3|2|NaN|966 m²|NaN|R2,650,000
3|2.5|NaN|NaN|268 m²|170 m²|R2,650,000
2|2|NaN|NaN|NaN|75 m²|R2,650,000
2|1|NaN|NaN|NaN|60 m²|R2,641,000
4|3|2|NaN|496 m²|220 m²|R2,620,000
1|1|NaN|1|NaN|48 m²|R2,612,000
3|2|2|NaN|415 m²|220 m²|R2,600,000
1|1|NaN|1|NaN|55 m²|R2,600,000
3|2.5|1|NaN|140 m²|140 m²|R2,600,000
3|3|2|3|793 m²|255 m²|R2,600,000
1|1|NaN|NaN|46 m²|46 m²|R2,599,995
3|2|NaN|2|NaN|108 m²|R2,595,000
3|1.5|NaN|NaN|106 m²|106 m²|R2,595,000
3|2|2|NaN|484 m²|NaN|R2,595,000
2|1|NaN|NaN|NaN|77 m²|R2,560,000
2|2|NaN|NaN|NaN|90 m²|R2,550,000
2|2|NaN|1|NaN|61 m²|R2,550,000
2|2|NaN|NaN|NaN|95 m²|R2,500,000
3|2|2|NaN|531 m²|NaN|R2,500,000
2|2|NaN|2|22,765 m²|120 m²|R2,500,000
1|1|NaN|1|687 m²|37 m²|R2,500,000
4|3|2|NaN|494 m²|249 m²|R2,500,000
4|3|2|NaN|496 m²|NaN|R2,500,000
1|1|NaN|NaN|NaN|53 m²|R2,500,000
3|2|1|2|1,004 m²|153 m²|R2,500,000
1|1|NaN|NaN|NaN|72 m²|R2,500,000
4|2|NaN|NaN|516 m²|NaN|R2,499,000
1|1|NaN|1|NaN|48 m²|R2,495,000
2|2|NaN|2|86 m²|86 m²|R2,495,000
2|1|NaN|2|NaN|82 m²|R2,495,000
4|3|2|NaN|422 m²|200 m²|R2,495,000
5|3|3|NaN|495 m²|NaN|R2,495,000
3|1.5|1|NaN|NaN|127 m²|R2,495,000
3|2|2|NaN|601 m²|154 m²|R2,490,000
3|2|2|NaN|429 m²|125 m²|R2,450,000
2|2|NaN|2|NaN|81 m²|R2,450,000
3|2|3|NaN|704 m²|181 m²|R2,450,000
2|1|1|NaN|NaN|88 m²|R2,450,000
3|2|1|NaN|261 m²|NaN|R2,450,000
2|2|NaN|1|93 m²|93 m²|R2,450,000
2|1|NaN|NaN|NaN|60 m²|R2,448,000
2|1|NaN|NaN|NaN|60 m²|R2,448,000
